time;item;state;p0;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15
1777805774.6314294;muumi_cup_arabia;empty;0;0;59;0;0;151;191;0;0;1299;613;0;0;69;101;0
1777805781.177909;muumi_cup_arabia;empty;0;0;0;0;0;0;1227;0;0;0;905;0;0;0;105;0
1777805788.1982336;muumi_cup_arabia;empty;3;0;0;0;784;255;0;0;1251;675;0;0;77;147;0;0
1777805792.7475994;muumi_cup_arabia;empty;29;83;0;0;169;269;0;0;997;1693;0;0;0;0;0;0
1777805816.4038954;muumi_cup_arabia;empty;2;0;0;0;64;0;0;0;1633;0;0;0;0;0;0;0
1777805821.4669278;muumi_cup_arabia;empty;91;4;0;0;1705;0;0;0;0;0;0;0;0;0;0;0
1777805825.4771357;muumi_cup_arabia;empty;751;120;0;0;142;1725;0;0;0;0;0;0;0;0;0;0
1777805834.5793355;muumi_cup_arabia;empty;0;0;1637;0;0;0;175;0;0;0;0;0;0;0;0;0
1777805840.0870748;muumi_cup_arabia;empty;0;495;0;235;0;1408;0;53;0;9;0;0;0;0;0;0
1777805848.1543953;muumi_cup_arabia;empty;0;0;171;409;0;0;1703;1131;0;0;0;0;0;0;0;0
1777805942.4245336;muumi_cup_arabia;empty;8;654;0;0;267;71;0;0;0;0;0;0;0;0;0;0
1777805959.5551398;muumi_cup_arabia;empty;638;301;0;0;1268;1699;0;0;0;0;0;0;0;0;0;0
1777805969.6216314;muumi_cup_arabia;empty;0;172;1099;0;0;1876;96;0;0;0;0;0;0;0;0;0
1777805976.688437;muumi_cup_arabia;empty;0;330;313;0;0;1437;1236;0;0;0;2;0;0;0;0;0
1777805980.6963625;muumi_cup_arabia;empty;0;1541;245;0;0;117;1133;0;0;0;0;0;0;0;0;0
1777806011.903876;muumi_cup_arabia;empty;0;0;213;941;0;0;1863;304;0;0;0;0;0;0;0;0
1777806027.0583804;muumi_cup_arabia;empty;0;0;222;139;0;0;1898;1516;0;0;16;9;0;0;0;0
1777806031.0910945;muumi_cup_arabia;empty;0;0;203;137;0;0;1896;1504;0;0;21;17;0;0;0;0
1777806086.490803;muumi_cup_arabia;empty;0;0;1484;230;0;0;212;149;0;0;261;1731;0;0;0;0
1777806101.627826;muumi_cup_arabia;empty;0;0;999;475;0;0;154;957;0;0;859;454;0;0;0;0
1777806105.1341505;muumi_cup_arabia;empty;0;0;647;9;0;0;151;376;0;0;1551;23;0;0;0;0
1777806112.1823556;muumi_cup_arabia;empty;0;8;1213;0;0;46;138;0;0;320;774;0;0;0;0;0
1777806142.9674306;muumi_cup_arabia;empty;0;393;203;0;0;235;1831;0;0;1561;167;0;0;0;0;0
1777806160.5948858;muumi_cup_arabia;empty;101;1124;0;0;203;269;0;0;1566;1059;0;0;0;0;0;0
1777806165.6125634;muumi_cup_arabia;empty;811;668;0;0;185;212;0;0;1105;1416;0;0;0;0;0;0
1777806171.1367989;muumi_cup_arabia;empty;544;59;0;0;235;243;0;0;1492;1509;0;0;0;0;0;0
1777806176.7013073;muumi_cup_arabia;empty;1;201;0;0;55;1593;0;0;1088;174;0;0;0;0;0;0
1777806196.8810353;muumi_cup_arabia;empty;0;0;0;0;0;0;97;395;0;0;201;166;0;0;1303;1288
1777806204.9379027;muumi_cup_arabia;empty;0;0;16;0;0;42;863;153;0;248;207;1471;0;69;306;665
1777806212.9607499;muumi_cup_arabia;empty;0;0;0;0;0;35;7;31;0;153;97;302;0;828;753;17
1777806219.0248969;muumi_cup_arabia;empty;0;0;0;0;0;120;2;0;0;307;72;0;0;1483;873;0
1777806222.5436003;muumi_cup_arabia;empty;0;0;0;0;0;8;24;0;0;95;186;0;0;593;1815;0
1777806229.0961037;muumi_cup_arabia;empty;0;0;0;0;0;22;64;0;0;96;1589;0;0;712;201;0
1777806238.6559334;muumi_cup_arabia;empty;0;0;0;0;83;149;0;0;807;539;0;0;1264;692;0;0
1777806243.749167;muumi_cup_arabia;empty;0;0;0;0;105;72;0;0;373;448;0;0;917;729;0;0
1777806296.5960608;muumi_cup_arabia;empty;0;0;0;359;0;0;67;252;0;0;915;46;0;0;9;0
1777806303.1641638;muumi_cup_arabia;empty;0;67;1465;0;0;170;219;0;0;1655;475;0;0;0;0;0
1777806309.7347927;muumi_cup_arabia;empty;0;39;35;0;0;154;171;0;0;1448;1681;0;0;0;0;0
1777806315.799308;muumi_cup_arabia;empty;0;27;0;0;0;190;215;0;0;791;6;0;0;0;0;0
1777806320.3300745;muumi_cup_arabia;empty;24;73;0;0;779;107;159;0;1237;10;405;0;0;0;0;0
1777806324.309754;muumi_cup_arabia;empty;8;40;0;0;83;213;0;0;1137;1863;0;0;0;0;0;0
1777806329.3951719;muumi_cup_arabia;empty;0;0;0;0;91;113;0;0;745;527;0;0;89;6;0;0
1777806337.981456;muumi_cup_arabia;empty;744;1888;0;0;171;281;0;0;0;0;0;0;0;0;0;0
1777806347.9958854;muumi_cup_arabia;empty;1576;184;0;0;209;1913;0;0;0;0;0;0;0;0;0;0
1777806352.5931325;muumi_cup_arabia;empty;0;0;301;0;0;0;1247;0;0;0;0;0;0;0;0;0
1777806357.588723;muumi_cup_arabia;empty;0;784;0;777;0;1147;0;90;0;0;0;0;0;0;0;0
1777806362.1123822;muumi_cup_arabia;empty;0;0;0;1335;0;0;0;559;0;0;0;0;0;0;0;0
