timestamp;resistance_ohms
1777469408.420235;4388.19
1777469408.4305015;4449.15
1777469408.4405148;4327.73
1777469408.450263;4490.08
1777469408.4604461;4327.73
1777469408.4703732;4327.73
1777469408.4803872;4490.08
1777469408.4912004;4408.45
1777469408.500562;4327.73
1777469408.5112042;4428.77
1777469408.5210667;4367.98
1777469408.5303452;4531.25
1777469408.5402944;4327.73
1777469408.5503795;4367.98
1777469408.5602047;4449.15
1777469408.5702944;4449.15
1777469408.5804522;4228.09
1777469408.5904653;4267.78
1777469408.6005359;4267.78
1777469408.6107361;4307.69
1777469408.620522;4408.45
1777469408.6308699;4388.19
1777469408.640798;4449.15
1777469408.650645;4287.71
1777469408.6605492;4388.19
1777469408.670696;4428.77
1777469408.681054;4228.09
1777469408.6909995;4490.08
1777469408.7006173;4408.45
1777469408.7106485;4408.45
1777469408.7210474;4740.63
1777469408.731075;4327.73
1777469408.741017;4656.16
1777469408.750519;4228.09
1777469408.7609963;4228.09
1777469408.770894;4388.19
1777469408.7804348;4327.73
1777469408.7907422;4327.73
1777469408.800289;4656.16
1777469408.8102453;4307.69
1777469408.8201933;4168.98
1777469408.8302088;4208.33
1777469408.8403082;4287.71
1777469408.8503246;4247.91
1777469408.8602817;3132.22
1777469408.870262;2884.13
1777469408.8803627;2660.89
1777469408.8903754;2384.99
1777469408.9006515;2236.84
1777469408.910483;2149.64
1777469408.9209454;2266.19
1777469408.9308765;2222.22
1777469408.9408457;2692.31
1777469408.9504855;2035.29
1777469408.9610276;2236.84
1777469408.9708369;2430.13
1777469408.9806767;2384.99
1777469408.9910955;2222.22
1777469409.0008779;2106.51
1777469409.0110745;1936.99
1777469409.0207129;1992.97
1777469409.030687;2266.19
1777469409.0405068;2400.0
1777469409.0507507;2676.58
1777469409.0608854;2567.57
1777469409.070564;2629.63
1777469409.0808287;2266.19
1777469409.090808;1964.91
1777469409.100588;1854.0
1777469409.1108105;1731.65
1777469409.1207955;1718.21
1777469409.1308107;1691.43
1777469409.141031;1598.64
1777469409.1511095;1704.81
1777469409.1609998;1704.81
1777469409.1708488;1585.5
1777469409.1807933;1585.5
1777469409.1910918;1572.4
1777469409.2009857;1572.4
1777469409.2110825;1546.28
1777469409.2207296;1572.4
1777469409.2307007;1625.0
1777469409.2407684;1520.27
1777469409.2510111;1520.27
1777469409.2606041;1546.28
1777469409.270457;1678.08
1777469409.2803462;1533.26
1777469409.2909954;1585.5
1777469409.3008435;1546.28
1777469409.310952;1533.26
1777469409.3204956;1572.4
1777469409.3305163;1520.27
1777469409.3408744;1494.38
1777469409.3511198;1572.4
1777469409.360806;1546.28
1777469409.3706608;1430.17
1777469409.380825;1546.28
1777469409.390934;1520.27
1777469409.4006307;1520.27
1777469409.4108212;1430.17
1777469409.4208121;1494.38
1777469409.4308069;1546.28
1777469409.4405334;1494.38
1777469409.4507556;1572.4
1777469409.4602935;1494.38
1777469409.470416;1417.41
1777469409.4803813;1494.38
1777469409.4912305;1533.26
1777469409.5009952;1533.26
1777469409.5108383;1494.38
1777469409.5204933;1494.38
1777469409.5308294;1559.32
1777469409.5405207;1625.0
1777469409.550577;1494.38
1777469409.5605595;1494.38
1777469409.5705826;1572.4
1777469409.5806093;1533.26
1777469409.5905714;1430.17
1777469409.6007445;1391.98
1777469409.6110637;1572.4
1777469409.6206703;1468.61
1777469409.6306052;1494.38
1777469409.6410582;1494.38
1777469409.6508443;1494.38
1777469409.6610513;1468.61
1777469409.6708338;1625.0
1777469409.6812572;1494.38
1777469409.6910925;1520.27
1777469409.7006195;1546.28
1777469409.7108939;1678.08
1777469409.7205925;1611.8
1777469409.7309086;1559.32
1777469409.7410247;1455.77
1777469409.7506564;1507.31
1777469409.760309;1468.61
1777469409.7703614;1533.26
1777469409.7803574;1533.26
1777469409.790404;1598.64
1777469409.800343;1430.17
1777469409.810579;1494.38
1777469409.8208215;1572.4
1777469409.8309302;1366.67
1777469409.8405828;1611.8
1777469409.8508415;1572.4
1777469409.8603299;1533.26
1777469409.8709824;1678.08
1777469409.8805673;1598.64
1777469409.89099;1481.48
1777469409.900817;1391.98
1777469409.910903;1585.5
1777469409.9208286;1494.38
1777469409.9309793;1417.41
1777469409.9407043;1494.38
1777469409.950892;1430.17
1777469409.9607816;1625.0
1777469409.970809;1391.98
1777469409.9809635;1481.48
1777469409.990803;1546.28
1777469410.0010836;1598.64
1777469410.0106192;1546.28
1777469410.0206907;1572.4
1777469410.0311227;1391.98
1777469410.0409622;1366.67
1777469410.050656;1559.32
1777469410.0609016;1366.67
1777469410.0705912;1546.28
1777469410.0805676;1404.68
1777469410.0908828;1533.26
1777469410.1005828;1572.4
1777469410.1109438;1341.46
1777469410.120654;1430.17
1777469410.1309247;1572.4
1777469410.141113;1731.65
1777469410.1508265;1481.48
