timestamp;resistance_ohms
1777469212.6854937;2120.85
1777469212.69615;2021.15
1777469212.7053814;2049.47
1777469212.7154124;2207.64
1777469212.725302;2063.68
1777469212.7357194;1923.08
1777469212.7454069;2035.29
1777469212.7552745;2007.04
1777469212.7655125;2106.51
1777469212.7753897;1978.92
1777469212.7854223;2135.23
1777469212.795572;2149.64
1777469212.8059158;1978.92
1777469212.8162656;2077.92
1777469212.825601;1978.92
1777469212.8354228;1950.93
1777469212.8456767;2007.04
1777469212.8553972;1854.0
1777469212.865907;2120.85
1777469212.875931;2007.04
1777469212.8856146;2077.92
1777469212.896118;2149.64
1777469212.9055338;2092.2
1777469212.9161623;1978.92
1777469212.9258468;2007.04
1777469212.9355364;2120.85
1777469212.9455523;2035.29
1777469212.9558547;2120.85
1777469212.9655883;2077.92
1777469212.9757848;2077.92
1777469212.9859972;2266.19
1777469212.9958408;2149.64
1777469213.005875;2266.19
1777469213.0156214;2384.99
1777469213.0255132;2178.57
1777469213.0358412;2280.91
1777469213.0459661;2310.47
1777469213.055853;2280.91
1777469213.0659895;2207.64
1777469213.0758286;2445.26
1777469213.085805;2506.11
1777469213.095813;2629.63
1777469213.10568;2598.52
1777469213.1161559;2629.63
1777469213.1256783;2567.57
1777469213.135614;2460.41
1777469213.1455631;2445.26
1777469213.155838;2536.76
1777469213.1655917;2415.05
1777469213.175834;2415.05
1777469213.1860914;2310.47
1777469213.195558;2236.84
1777469213.2062387;2370.01
1777469213.2154026;2092.2
1777469213.2257023;2310.47
1777469213.23571;2536.76
1777469213.2458427;2445.26
1777469213.2556162;2692.31
1777469213.265843;2723.88
1777469213.2755158;3015.27
1777469213.285655;2692.31
1777469213.2954943;2692.31
1777469213.3059464;2723.88
1777469213.315915;2692.31
1777469213.3255787;2819.55
1777469213.33605;2660.89
1777469213.3460367;2900.38
1777469213.3558853;3166.02
1777469213.3660357;3768.51
1777469213.375842;3567.64
1777469213.3858006;3621.84
1777469213.3956056;3768.51
1777469213.405812;4013.7
1777469213.415851;3621.84
1777469213.425778;3787.06
1777469213.4354892;3937.33
1777469213.4454567;4287.71
1777469213.4553776;5811.44
1777469213.465905;11049.38
1777469213.4758344;8010.56
1777469213.4860415;6238.1
1777469213.495409;6238.1
1777469213.5054364;8465.7
1777469213.5153463;8566.24
1777469213.5252964;7517.12
1777469213.5353785;7078.46
1777469213.5453866;7698.96
1777469213.5553787;7577.32
1777469213.5654602;6993.35
1777469213.5753844;7457.34
1777469213.5853724;7607.57
1777469213.5953772;7107.02
1777469213.6054559;6993.35
1777469213.6153781;7193.28
1777469213.6258266;7338.98
1777469213.6356149;7397.96
1777469213.645431;7135.68
1777469213.6552758;7078.46
1777469213.6652756;7637.93
1777469213.675704;7517.12
1777469213.6852608;7427.6
1777469213.6954563;7107.02
1777469213.7053037;8074.21
1777469213.715845;7164.43
1777469213.7254405;7078.46
1777469213.7353513;7078.46
1777469213.7459967;7107.02
1777469213.7552884;7164.43
1777469213.7653828;6993.35
1777469213.7753458;7078.46
1777469213.785277;7222.22
1777469213.795359;6688.42
1777469213.8053753;7427.6
1777469213.8154368;7222.22
1777469213.825417;7280.4
1777469213.8357735;7338.98
1777469213.846262;7222.22
1777469213.8556724;7107.02
1777469213.8655643;7251.26
1777469213.8758283;6770.49
1777469213.8856335;6661.24
1777469213.8962288;6770.49
1777469213.9054148;6688.42
1777469213.9158666;6715.69
1777469213.9256113;7078.46
1777469213.9359045;6634.15
1777469213.946031;7280.4
1777469213.9556918;6798.03
1777469213.9656549;6743.04
1777469213.9758666;7338.98
1777469213.9858303;6770.49
1777469213.9956634;6553.4
1777469214.0054977;6937.09
1777469214.015831;6909.09
1777469214.0257385;6715.69
1777469214.0355742;6743.04
1777469214.0455682;6853.38
1777469214.055357;6634.15
1777469214.0653846;6881.19
1777469214.075376;6825.66
1777469214.0855353;6881.19
1777469214.0953944;6937.09
1777469214.1055386;7637.93
1777469214.1159008;7222.22
1777469214.1258373;7050.0
1777469214.136043;6607.14
1777469214.1455894;6715.69
1777469214.1555874;6825.66
1777469214.1660247;6770.49
1777469214.175745;6212.36
1777469214.1857364;6394.23
1777469214.1962368;6553.4
1777469214.205401;6634.15
1777469214.2152839;6634.15
1777469214.225267;6715.69
1777469214.2352276;7251.26
1777469214.2453194;7280.4
1777469214.2553866;6553.4
1777469214.265435;6715.69
1777469214.2753391;6937.09
1777469214.2853591;6825.66
1777469214.2957919;6446.95
1777469214.305398;6212.36
1777469214.3160489;6993.35
1777469214.325399;6881.19
1777469214.3354223;6853.38
1777469214.3454382;6715.69
1777469214.3553941;7078.46
1777469214.3659124;6853.38
1777469214.375642;6580.23
1777469214.385944;6743.04
1777469214.3960712;6853.38
1777469214.4062655;6607.14
1777469214.4160323;6743.04
1777469214.4256194;6473.43
1777469214.435519;6446.95
1777469214.445596;6553.4
1777469214.4561493;6770.49
1777469214.4661734;6500.0
1777469214.475845;6446.95
1777469214.4858587;7078.46
1777469214.4959517;6937.09
1777469214.5062742;6993.35
1777469214.5158665;6553.4
1777469214.5258787;6853.38
1777469214.5358415;6798.03
1777469214.546065;6770.49
1777469214.555964;6526.66
1777469214.5654428;6289.81
1777469214.575356;6473.43
1777469214.5853684;6937.09
1777469214.5953116;6607.14
1777469214.6053958;6770.49
1777469214.616029;6607.14
1777469214.6258526;6607.14
1777469214.6355608;6553.4
1777469214.6460187;6634.15
1777469214.6556103;6965.17
1777469214.66565;6446.95
1777469214.675794;6634.15
1777469214.6856759;6394.23
1777469214.6958425;6446.95
1777469214.705604;6473.43
1777469214.7158148;6881.19
1777469214.7258143;6526.66
1777469214.735399;6715.69
1777469214.7454247;6743.04
1777469214.7553537;6553.4
1777469214.7653368;6715.69
1777469214.775815;6446.95
1777469214.7857587;6553.4
1777469214.7957284;6825.66
1777469214.8056204;6500.0
1777469214.8154128;6289.81
1777469214.8253703;6341.85
1777469214.8355808;6238.1
1777469214.8453393;6607.14
1777469214.855337;6553.4
1777469214.8653443;6009.39
1777469214.8753252;6420.55
1777469214.8853235;6009.39
1777469214.8953836;6263.91
1777469214.9053214;6341.85
1777469214.915806;5984.38
1777469214.9255888;6341.85
1777469214.9356167;6341.85
1777469214.9459684;6341.85
1777469214.955973;6238.1
1777469214.9659517;6607.14
1777469214.9754698;6500.0
1777469214.98544;6420.55
1777469214.9958527;6238.1
1777469215.00561;6446.95
1777469215.0155575;6661.24
1777469215.0253494;5984.38
1777469215.0356545;6853.38
1777469215.045378;6688.42
1777469215.0553756;6500.0
1777469215.0657215;6526.66
1777469215.0755482;6580.23
1777469215.085608;6743.04
1777469215.0958052;6289.81
1777469215.1058733;6526.66
1777469215.1158524;6186.71
1777469215.1258924;6212.36
1777469215.1356955;6341.85
1777469215.1459124;6238.1
1777469215.1555424;6770.49
1777469215.1658912;6161.14
1777469215.175844;5885.09
1777469215.186073;6661.24
1777469215.1960213;6238.1
1777469215.2058291;6446.95
1777469215.2158284;7078.46
1777469215.2258146;6580.23
1777469215.235747;6394.23
1777469215.2463145;6341.85
1777469215.255726;6289.81
1777469215.2655292;6238.1
1777469215.2758305;6420.55
1777469215.2860405;6607.14
1777469215.29536;6446.95
1777469215.305318;6661.24
1777469215.3155844;6341.85
1777469215.32532;6607.14
1777469215.3353283;6607.14
1777469215.3454666;6289.81
1777469215.3557293;6238.1
1777469215.3655622;6500.0
1777469215.375569;6289.81
1777469215.3860247;6238.1
1777469215.3960662;6607.14
1777469215.4057562;6553.4
1777469215.4159343;6238.1
1777469215.426126;6526.66
1777469215.435855;6500.0
1777469215.445829;6289.81
1777469215.4561014;6553.4
1777469215.4657495;6553.4
1777469215.475851;6341.85
1777469215.4858022;6500.0
1777469215.4959283;6263.91
1777469215.5060282;6186.71
1777469215.515717;5934.58
1777469215.525813;6341.85
1777469215.5358047;5885.09
1777469215.545681;5934.58
1777469215.5554597;5762.71
1777469215.5653713;5984.38
1777469215.5753312;5690.19
1777469215.5855355;5738.46
1777469215.5953302;6009.39
1777469215.605291;5738.46
1777469215.6153262;5714.29
1777469215.6253693;5738.46
1777469215.6353762;5811.44
1777469215.6458015;5690.19
1777469215.6558206;5984.38
1777469215.6655293;5547.11
1777469215.6755545;5738.46
1777469215.685612;5934.58
